"muniYear","agua","dren","elec"
"05008_1999",193,0,0
"05008_2000",438,0,0
"05008_2001",446,0,0
"05008_2002",480,0,0
"05008_2003",510,0,0
"05008_2004",484,0,0
"05008_2005",510,0,0
"05008_2006",780,0,0
"05008_2007",601,0,0
"05008_2008",650,0,0
"05008_2009",850,0,0
"05008_2010",1052,0,0
"05008_2011",1052,0,0
"05008_2012",1052,0,0
"05008_2013",1052,0,0
"05008_2014",4831,0,0
"05008_2015",1052,0,0
"05009_1994",12389,1,0
"05009_1995",12176,1,1113.11111111111
"05009_1996",12182,1,3339.33333333333
"05009_1997",12927,1,6678.66666666667
"05009_1998",13009,1,8904.88888888889
"05009_1999",13080,1,9714.42424242424
"05009_2000",14033,1,10018
"05009_2001",14144,1,9940.34108527132
"05009_2002",14152,1,9863.87692307692
"05009_2003",14430,1,9428.70588235294
"05009_2004",14653,1,8014.4
"05009_2005",14702,1,5009
"05009_2006",15155,1,0
"05009_2007",15423,1,0
"05009_2008",15591,1,0
"05009_2009",15917,1,0
"05009_2010",16051,1,0
"05009_2011",15928,1,0
"05009_2012",15969,1,0
"05009_2013",16944,1,0
"05009_2014",16744.6666666667,1,0
"05009_2015",17960,1,0
"05010_1994",14314,1,0
"05010_1995",14056,1,0
"05010_1996",14170,1,0
"05010_1997",14868,1,0
"05010_1998",15572,1,0
"05010_1999",15982,1,0
"05010_2000",15845.3333333333,0.75,0
