"muniYear","agua","dren","elec"
"04002_2011",78709,2,92015
"04002_2012",80207,2,94483
"04002_2013",80242,2,97098
"04002_2014",85750,2,101340
"04002_2015",87656,2,101378
"04003_1994",23738,1,5613
"04003_1995",22967,1,6111
"04003_1996",25877,1,6526
"04003_1997",29513,1,6415
"04003_1998",27058,1,34598
"04003_1999",27244,1,NA
"04003_2000",27760,1,41656
"04003_2001",27910,1,43471
"04003_2002",27940,1,48361
"04003_2003",27940,1,51569
"04003_2004",39919,1,55708
"04003_2005",39919,1,59118
"04003_2006",41836,1,62265
"04003_2007",42014,1,64226
"04003_2008",42089,1,61869
"04003_2009",40833,1,63860
"04003_2010",40858,1,65793
"04003_2011",43401,1,74910
"04003_2012",43521,1,78173
"04003_2013",43521,1,84304
"04003_2014",44301,1,89479
"04003_2015",44474,1,91802
"04004_1994",9199,0,12248
"04004_1995",9164,0,13161
"04004_1996",11094,0,13790
"04004_1997",11835,1,13702
"04004_1998",12149,2,12315
"04004_1999",12413,5,12246
"04004_2000",12451,5,14597
"04004_2001",12451,5,15227
"04004_2002",12595,5,15987
"04004_2003",12772,5,16082
"04004_2004",14003,5,16666
"04004_2005",14283,5,17910
"04004_2006",14422,5,18891
"04004_2007",15026,6,20040
"04004_2008",15026,6,20906
"04004_2009",17325,6,21271
"04004_2010",17820,6,21471
"04004_2011",19086,6,22655
"04004_2012",19392,6,22779
"04004_2013",19892,6,24927
"04004_2014",21231,6,26157
"04004_2015",22109,6,26263
"04005_1994",3496,1,0
"04005_1995",3566,1,4239
"04005_1996",3606,1,4461
"04005_1997",3770,1,4559
"04005_1998",3937,2,4570
"04005_1999",4024,2,4731
"04005_2000",4024,2,4663
"04005_2001",4024,2,4864
"04005_2002",4024,2,5014
"04005_2003",4126,2,5063
"04005_2004",4242,2,5342
"04005_2005",4262,2,5721
"04005_2006",4262,2,5952
"04005_2007",4980,2,6244
"04005_2008",4980,2,6399
"04005_2009",5354,2,6519
"04005_2010",5402,2,7198
"04005_2011",5477,2,7017
"04005_2012",5609,2,7362
"04005_2013",6963,2,7719
"04005_2014",7348,2,8335
"04005_2015",7960,2,8282
"04006_1994",4484,0,6865
"04006_1995",4592,0,7252
"04006_1996",4615,0,7636
"04006_1997",5163,0,8025
"04006_1998",5245,1,8250
"04006_1999",5665,2,8580
"04006_2000",5665,2,5858
"04006_2001",5665,2,6109
"04006_2002",5665,2,6269
"04006_2003",5873,2,6349
"04006_2004",6169,2,6730
"04006_2005",6258,2,6925
"04006_2006",6382,2,8191
"04006_2007",6823,3,8566
"04006_2008",6823,3,10726
"04006_2009",6926,3,10974
"04006_2010",7026,3,11069
"04006_2011",7026,3,8688
"04006_2012",7315,3,9076
"04006_2013",7455,3,9861
"04006_2014",7498,3,10762
"04006_2015",8009,3,10507
"04007_1994",1014,0,0
"04007_1995",954,0,0
"04007_1996",1014,0,0
"04007_1997",1031,0,0
"04007_1998",1105,1,2029
"04007_1999",1105,1,NA
"04007_2000",1182,1,NA
"04007_2001",1182,1,NA
"04007_2002",1182,1,NA
"04007_2003",1182,1,NA
"04007_2004",1338,1,NA
"04007_2005",1338,1,NA
"04007_2006",1388,1,NA
"04007_2007",1388,1,NA
"04007_2008",1388,1,NA
"04007_2009",1279,1,NA
"04007_2010",1279,1,NA
"04007_2011",1279,1,NA
"04007_2012",1388,1,NA
"04007_2013",1498,1,NA
"04007_2014",1498,1,NA
"04007_2015",1498,1,3407
"04008_1994",1056,0,NA
"04008_1995",1100,0,1461
"04008_1996",1100,0,1539
"04008_1997",1438,1,1572
"04008_1998",1458,1,1578
"04008_1999",1520,2,1631
"04008_2000",1520,2,1583
"04008_2001",1550,2,1653
"04008_2002",1550,2,1707
"04008_2003",1550,2,1689
"04008_2004",1969,2,1780
"04008_2005",1985,2,1892
"04008_2006",1985,2,1993
"04008_2007",2157,2,2260
"04008_2008",2157,2,2119
"04008_2009",2174,2,2193
"04008_2010",2594,2,2502
"04008_2011",2728,2,2395
"04008_2012",2817,2,2604
"04008_2013",2862,2,2852
"04008_2014",3154,2,3115
"04008_2015",3182,2,3073
"04009_1994",7841,1,12938
"04009_1995",8007,1,14280
"04009_1996",9021,1,15036
"04009_1997",9107,1,15151
"04009_1998",8517,2,10393
"04009_1999",9008,2,10349
"04009_2000",9146,2,9688
"04009_2001",10308,2,10104
"04009_2002",10333,2,10684
"04009_2003",10772,2,10662
"04009_2004",10906,2,11187
"04009_2005",11281,2,11902
"04009_2006",11477,2,12414
"04009_2007",11728,2,12293
"04009_2008",11728,2,17963
"04009_2009",12416,2,17993
"04009_2010",12748,2,18498
"04009_2011",12751,2,14964
"04009_2012",13312,2,15763
"04009_2013",13771,2,15943
"04009_2014",14405,2,17779
"04009_2015",14480,2,17481
"04010_1994",0,0,0
"04010_1995",0,0,0
"04010_1996",0,0,0
"04010_1997",1140,0,NA
"04010_1998",632,0,4454
"04010_1999",680,1,4436
"04010_2000",680,1,1520
"04010_2001",680,1,1584
"04010_2002",733,1,1861
"04010_2003",733,1,2079
"04010_2004",1522,1,2534
"04010_2005",1572,1,2694
"04010_2006",2421,1,2840
"04010_2007",3885,1,3219
"04010_2008",3885,1,4052
"04010_2009",4384,1,4535
"04010_2010",4384,1,4526
"04010_2011",5419,1,4515
"04010_2012",5765,1,4903
"04010_2013",5775,1,5454
"04010_2014",6467,1,6237
"04010_2015",6735,1,5810
"04011_1994",0,0,0
"04011_1995",0,0,0
"04011_1996",0,0,0
"04011_1997",0,0,0
"04011_1998",4066,1,6607
"04011_1999",4490,1,6429
"04011_2000",5204,1,5101
"04011_2001",5315,1,5317
"04011_2002",5315,1,5389
"04011_2003",5635,1,5338
"04011_2004",6264,1,5710
"04011_2005",6841,1,5935
"04011_2006",7150,1,7367
"04011_2007",7478,1,8892
"04011_2008",7478,1,11354
"04011_2009",7644,1,11360
"04011_2010",8312,1,11110
"04011_2011",8639,1,8419
"04011_2012",9883,1,8803
"04011_2013",10710,1,9289
"04011_2014",10858,1,10786
"04011_2015",10855,1,10784
