"muniYear","tot_del","hom"
"05002_2005",61.6666666666667,10.6666666666667
"05002_2006",61.6666666666667,10.6666666666667
"05002_2007",61.6666666666667,10.6666666666667
"05002_2008",61.6666666666667,10.6666666666667
"05002_2009",61.6666666666667,10.6666666666667
"05002_2010",61.6666666666667,10.6666666666667
"05003_1994",61.6666666666667,10.6666666666667
"05003_1995",61.6666666666667,10.6666666666667
"05003_1996",61.6666666666667,10.6666666666667
"05003_1997",61.6666666666667,10.6666666666667
"05003_1998",61.6666666666667,10.6666666666667
"05003_1999",61.6666666666667,10.6666666666667
"05003_2000",61.6666666666667,10.6666666666667
"05003_2001",61.6666666666667,10.6666666666667
"05003_2002",61.6666666666667,10.6666666666667
"05003_2003",61.6666666666667,10.6666666666667
"05003_2004",61.6666666666667,10.6666666666667
"05003_2005",61.6666666666667,10.6666666666667
"05003_2006",61.6666666666667,10.6666666666667
"05003_2007",61.6666666666667,10.6666666666667
"05003_2008",61.6666666666667,10.6666666666667
"05003_2009",61.6666666666667,10.6666666666667
"05003_2010",61.6666666666667,10.6666666666667
"05004_1994",61.6666666666667,10.6666666666667
"05004_1995",61.6666666666667,10.6666666666667
"05004_1996",61.6666666666667,10.6666666666667
"05004_1997",61.6666666666667,10.6666666666667
"05004_1998",61.6666666666667,10.6666666666667
"05004_1999",61.6666666666667,10.6666666666667
"05004_2000",61.6666666666667,10.6666666666667
"05004_2001",61.6666666666667,10.6666666666667
"05004_2002",61.6666666666667,10.6666666666667
"05004_2003",61.6666666666667,10.6666666666667
"05004_2004",61.6666666666667,10.6666666666667
"05004_2005",61.6666666666667,10.6666666666667
"05004_2006",61.6666666666667,10.6666666666667
"05004_2007",61.6666666666667,10.6666666666667
"05004_2008",61.6666666666667,10.6666666666667
"05004_2009",61.6666666666667,10.6666666666667
"05004_2010",61.6666666666667,10.6666666666667
"05005_1994",61.6666666666667,10.6666666666667
"05005_1995",61.6666666666667,10.6666666666667
"05005_1996",61.6666666666667,10.6666666666667
"05005_1997",61.6666666666667,10.6666666666667
"05005_1998",61.6666666666667,10.6666666666667
"05005_1999",61.6666666666667,10.6666666666667
"05005_2000",61.6666666666667,10.6666666666667
"05005_2001",61.6666666666667,10.6666666666667
"05005_2002",61.6666666666667,10.6666666666667
"05005_2003",61.6666666666667,10.6666666666667
"05005_2004",61.6666666666667,10.6666666666667
"05005_2005",61.6666666666667,10.6666666666667
"05005_2006",61.6666666666667,10.6666666666667
"05005_2007",61.6666666666667,10.6666666666667
"05005_2008",61.6666666666667,10.6666666666667
"05005_2009",61.6666666666667,10.6666666666667
"05005_2010",61.6666666666667,10.6666666666667
"05006_1994",61.6666666666667,10.6666666666667
"05006_1995",61.6666666666667,10.6666666666667
"05006_1996",61.6666666666667,10.6666666666667
"05006_1997",61.6666666666667,10.6666666666667
"05006_1998",61.6666666666667,10.6666666666667
"05006_1999",61.6666666666667,10.6666666666667
"05006_2000",61.6666666666667,10.6666666666667
"05006_2001",61.6666666666667,10.6666666666667
"05006_2002",61.6666666666667,10.6666666666667
"05006_2003",61.6666666666667,10.6666666666667
"05006_2004",61.6666666666667,10.6666666666667
"05006_2005",61.6666666666667,10.6666666666667
"05006_2006",61.6666666666667,10.6666666666667
"05006_2007",61.6666666666667,10.6666666666667
"05006_2008",61.6666666666667,10.6666666666667
"05006_2009",61.6666666666667,10.6666666666667
"05006_2010",61.6666666666667,10.6666666666667
"05007_1994",61.6666666666667,10.6666666666667
"05007_1995",61.6666666666667,10.6666666666667
"05007_1996",61.6666666666667,10.6666666666667
"05007_1997",61.6666666666667,10.6666666666667
"05007_1998",61.6666666666667,10.6666666666667
"05007_1999",61.6666666666667,10.6666666666667
"05007_2000",61.6666666666667,10.6666666666667
"05007_2001",61.6666666666667,10.6666666666667
"05007_2002",61.6666666666667,10.6666666666667
"05007_2003",61.6666666666667,10.6666666666667
"05007_2004",61.6666666666667,10.6666666666667
"05007_2005",61.6666666666667,10.6666666666667
"05007_2006",61.6666666666667,10.6666666666667
"05007_2007",61.6666666666667,10.6666666666667
"05007_2008",61.6666666666667,10.6666666666667
"05007_2009",61.6666666666667,10.6666666666667
"05007_2010",61.6666666666667,10.6666666666667
"05008_1994",61.6666666666667,10.6666666666667
"05008_1995",61.6666666666667,10.6666666666667
"05008_1996",61.6666666666667,10.6666666666667
"05008_1997",61.6666666666667,10.6666666666667
"05008_1998",61.6666666666667,10.6666666666667
"05008_1999",61.6666666666667,10.6666666666667
"05008_2000",61.6666666666667,10.6666666666667
"05008_2001",61.6666666666667,10.6666666666667
"05008_2002",61.6666666666667,10.6666666666667
"05008_2003",61.6666666666667,10.6666666666667
"05008_2004",61.6666666666667,10.6666666666667
"05008_2005",61.6666666666667,10.6666666666667
"05008_2006",61.6666666666667,10.6666666666667
"05008_2007",61.6666666666667,10.6666666666667
"05008_2008",61.6666666666667,10.6666666666667
"05008_2009",61.6666666666667,10.6666666666667
"05008_2010",61.6666666666667,10.6666666666667
"05009_1994",61.6666666666667,10.6666666666667
"05009_1995",61.6666666666667,10.6666666666667
"05009_1996",61.6666666666667,10.6666666666667
"05009_1997",61.6666666666667,10.6666666666667
"05009_1998",61.6666666666667,10.6666666666667
"05009_1999",61.6666666666667,10.6666666666667
"05009_2000",61.6666666666667,10.6666666666667
"05009_2001",61.6666666666667,10.6666666666667
"05009_2002",61.6666666666667,10.6666666666667
"05009_2003",61.6666666666667,10.6666666666667
"05009_2004",61.6666666666667,10.6666666666667
"05009_2005",61.6666666666667,10.6666666666667
"05009_2006",61.6666666666667,10.6666666666667
"05009_2007",61.6666666666667,10.6666666666667
"05009_2008",61.6666666666667,10.6666666666667
"05009_2009",61.6666666666667,10.6666666666667
"05009_2010",61.6666666666667,10.6666666666667
"05010_1994",61.6666666666667,10.6666666666667
"05010_1995",61.6666666666667,10.6666666666667
"05010_1996",61.6666666666667,10.6666666666667
"05010_1997",61.6666666666667,10.6666666666667
"05010_1998",61.6666666666667,10.6666666666667
"05010_1999",61.6666666666667,10.6666666666667
"05010_2000",61.6666666666667,10.6666666666667
"05010_2001",61.6666666666667,10.6666666666667
"05010_2002",61.6666666666667,10.6666666666667
"05010_2003",61.6666666666667,10.6666666666667
"05010_2004",61.6666666666667,10.6666666666667
"05010_2005",61.6666666666667,10.6666666666667
"05010_2006",61.6666666666667,10.6666666666667
"05010_2007",61.6666666666667,10.6666666666667
"05010_2008",61.6666666666667,10.6666666666667
"05010_2009",61.6666666666667,10.6666666666667
"05010_2010",61.6666666666667,10.6666666666667
"05011_1994",61.6666666666667,10.6666666666667
"05011_1995",61.6666666666667,10.6666666666667
"05011_1996",61.6666666666667,10.6666666666667
"05011_1997",61.6666666666667,10.6666666666667
"05011_1998",61.6666666666667,10.6666666666667
"05011_1999",61.6666666666667,10.6666666666667
"05011_2000",61.6666666666667,10.6666666666667
"05011_2001",61.6666666666667,10.6666666666667
"05011_2002",61.6666666666667,10.6666666666667
"05011_2003",61.6666666666667,10.6666666666667
"05011_2004",61.6666666666667,10.6666666666667
"05011_2005",61.6666666666667,10.6666666666667
"05011_2006",61.6666666666667,10.6666666666667
"05011_2007",61.6666666666667,10.6666666666667
"05011_2008",61.6666666666667,10.6666666666667
"05011_2009",61.6666666666667,10.6666666666667
"05011_2010",61.6666666666667,10.6666666666667
"05012_1994",61.6666666666667,10.6666666666667
"05012_1995",61.6666666666667,10.6666666666667
"05012_1996",61.6666666666667,10.6666666666667
"05012_1997",61.6666666666667,10.6666666666667
"05012_1998",61.6666666666667,10.6666666666667
"05012_1999",61.6666666666667,10.6666666666667
"05012_2000",61.6666666666667,10.6666666666667
"05012_2001",61.6666666666667,10.6666666666667
"05012_2002",61.6666666666667,10.6666666666667
"05012_2003",61.6666666666667,10.6666666666667
"05012_2004",61.6666666666667,10.6666666666667
"05012_2005",61.6666666666667,10.6666666666667
"05012_2006",61.6666666666667,10.6666666666667
"05012_2007",61.6666666666667,10.6666666666667
"05012_2008",61.6666666666667,10.6666666666667
"05012_2009",61.6666666666667,10.6666666666667
"05012_2010",61.6666666666667,10.6666666666667
"05013_1994",61.6666666666667,10.6666666666667
"05013_1995",61.6666666666667,10.6666666666667
"05013_1996",61.6666666666667,10.6666666666667
"05013_1997",61.6666666666667,10.6666666666667
"05013_1998",61.6666666666667,10.6666666666667
"05013_1999",61.6666666666667,10.6666666666667
"05013_2000",61.6666666666667,10.6666666666667
"05013_2001",61.6666666666667,10.6666666666667
"05013_2002",61.6666666666667,10.6666666666667
"05013_2003",61.6666666666667,10.6666666666667
"05013_2004",61.6666666666667,10.6666666666667
"05013_2005",61.6666666666667,10.6666666666667
"05013_2006",61.6666666666667,10.6666666666667
"05013_2007",61.6666666666667,10.6666666666667
"05013_2008",61.6666666666667,10.6666666666667
"05013_2009",61.6666666666667,10.6666666666667
"05013_2010",61.6666666666667,10.6666666666667
"05014_1994",61.6666666666667,10.6666666666667
"05014_1995",61.6666666666667,10.6666666666667
"05014_1996",61.6666666666667,10.6666666666667
"05014_1997",61.6666666666667,10.6666666666667
"05014_1998",61.6666666666667,10.6666666666667
"05014_1999",61.6666666666667,10.6666666666667
"05014_2000",61.6666666666667,10.6666666666667
"05014_2001",61.6666666666667,10.6666666666667
"05014_2002",61.6666666666667,10.6666666666667
"05014_2003",61.6666666666667,10.6666666666667
"05014_2004",61.6666666666667,10.6666666666667
"05014_2005",61.6666666666667,10.6666666666667
"05014_2006",61.6666666666667,10.6666666666667
"05014_2007",61.6666666666667,10.6666666666667
"05014_2008",61.6666666666667,10.6666666666667
"05014_2009",61.6666666666667,10.6666666666667
"05014_2010",61.6666666666667,10.6666666666667
"05015_1994",61.6666666666667,10.6666666666667
"05015_1995",61.6666666666667,10.6666666666667
"05015_1996",61.6666666666667,10.6666666666667
"05015_1997",61.6666666666667,10.6666666666667
"05015_1998",61.6666666666667,10.6666666666667
"05015_1999",61.6666666666667,10.6666666666667
"05015_2000",61.6666666666667,10.6666666666667
"05015_2001",61.6666666666667,10.6666666666667
"05015_2002",61.6666666666667,10.6666666666667
"05015_2003",61.6666666666667,10.6666666666667
"05015_2004",61.6666666666667,10.6666666666667
"05015_2005",61.6666666666667,10.6666666666667
"05015_2006",61.6666666666667,10.6666666666667
"05015_2007",61.6666666666667,10.6666666666667
"05015_2008",61.6666666666667,10.6666666666667
"05015_2009",61.6666666666667,10.6666666666667
"05015_2010",61.6666666666667,10.6666666666667
"05016_1994",61.6666666666667,10.6666666666667
"05016_1995",61.6666666666667,10.6666666666667
"05016_1996",61.6666666666667,10.6666666666667
"05016_1997",61.6666666666667,10.6666666666667
"05016_1998",61.6666666666667,10.6666666666667
"05016_1999",61.6666666666667,10.6666666666667
"05016_2000",61.6666666666667,10.6666666666667
"05016_2001",61.6666666666667,10.6666666666667
"05016_2002",61.6666666666667,10.6666666666667
"05016_2003",61.6666666666667,10.6666666666667
"05016_2004",61.6666666666667,10.6666666666667
"05016_2005",61.6666666666667,10.6666666666667
"05016_2006",61.6666666666667,10.6666666666667
"05016_2007",61.6666666666667,10.6666666666667
"05016_2008",61.6666666666667,10.6666666666667
"05016_2009",61.6666666666667,10.6666666666667
"05016_2010",61.6666666666667,10.6666666666667
"05017_1994",61.6666666666667,10.6666666666667
"05017_1995",61.6666666666667,10.6666666666667
"05017_1996",61.6666666666667,10.6666666666667
"05017_1997",61.6666666666667,10.6666666666667
"05017_1998",61.6666666666667,10.6666666666667
"05017_1999",61.6666666666667,10.6666666666667
"05017_2000",61.6666666666667,10.6666666666667
"05017_2001",61.6666666666667,10.6666666666667
"05017_2002",61.6666666666667,10.6666666666667
"05017_2003",61.6666666666667,10.6666666666667
"05017_2004",61.6666666666667,10.6666666666667
"05017_2005",61.6666666666667,10.6666666666667
"05017_2006",61.6666666666667,10.6666666666667
"05017_2007",61.6666666666667,10.6666666666667
"05017_2008",61.6666666666667,10.6666666666667
"05017_2009",61.6666666666667,10.6666666666667
"05017_2010",61.6666666666667,10.6666666666667
"05018_1994",61.6666666666667,10.6666666666667
"05018_1995",61.6666666666667,10.6666666666667
"05018_1996",61.6666666666667,10.6666666666667
"05018_1997",61.6666666666667,10.6666666666667
"05018_1998",61.6666666666667,10.6666666666667
"05018_1999",61.6666666666667,10.6666666666667
"05018_2000",61.6666666666667,10.6666666666667
"05018_2001",61.6666666666667,10.6666666666667
"05018_2002",61.6666666666667,10.6666666666667
"05018_2003",61.6666666666667,10.6666666666667
"05018_2004",61.6666666666667,10.6666666666667
"05018_2005",61.6666666666667,10.6666666666667
"05018_2006",61.6666666666667,10.6666666666667
"05018_2007",61.6666666666667,10.6666666666667
"05018_2008",61.6666666666667,10.6666666666667
"05018_2009",61.6666666666667,10.6666666666667
"05018_2010",61.6666666666667,10.6666666666667
