"CVE_MUN","IM","POB_TOT","AÑO","muniYear"
"07059",1.38,121012,1990,"07059_1990"
"07065",0.475,119826,2015,"07065_2015"
"07078",-0.586,116729,1995,"07078_1995"
"07031",2.089,111554,2010,"07031_2010"
"07052",1.219,111484,2010,"07052_2010"
"07065",0.62,110918,2010,"07065_2010"
"07019",-0.377,105210,2000,"07019_2000"
"07108",0.205,104833,2015,"07108_2015"
"07027",-0.198,100751,2015,"07027_2015"
"07052",2.175,99320,1995,"07052_1995"
"07108",0.191,98618,2010,"07108_2010"
"07052",1.134,98374,2005,"07052_2005"
"07065",0.604,97991,2005,"07065_2005"
"07031",2.153,95907,2005,"07031_2005"
"07019",-0.181,95260,1995,"07019_1995"
"07108",0.149,93023,2005,"07108_2005"
"07061",0.379,92103,2015,"07061_2015"
"07078",-0.689,89335,1990,"07078_1990"
"07097",-0.028,89178,2015,"07097_2015"
"07027",-0.148,87603,2010,"07027_2010"
"07023",1.993,87332,2015,"07023_2015"
"07052",1.482,86586,1990,"07052_1990"
"07052",1.136,86413,2000,"07052_2000"
"07108",0.005,85957,2000,"07108_2000"
"07065",0.507,85464,2000,"07065_2000"
"07097",0.028,84594,2010,"07097_2010"
"07017",0.004,84455,2015,"07017_2015"
"07061",0.413,82059,2010,"07061_2010"
"07108",-0.225,79925,1995,"07108_1995"
"07107",0.772,79003,2015,"07107_2015"
"07019",-0.295,78896,1990,"07019_1990"
"07097",-0.075,78516,2005,"07097_2005"
"07097",-0.153,78438,2000,"07097_2000"
"07017",0.13,78114,2010,"07017_2010"
"07065",0.482,77998,1995,"07065_1995"
"07031",2.046,77686,2000,"07031_2000"
"07096",1.589,77554,2015,"07096_2015"
"07023",1.815,76941,2010,"07023_2010"
"07099",0.681,76917,2015,"07099_2015"
"07107",0.693,74477,2010,"07107_2010"
"07097",-0.331,73673,1995,"07097_1995"
"07017",0.155,73668,2005,"07017_2005"
"07027",-0.007,73552,2005,"07027_2005"
"07034",0.336,73436,2015,"07034_2015"
"07108",-0.148,73207,1990,"07108_1990"
"07057",0.258,72967,2015,"07057_2015"
"07099",0.56,72769,2010,"07099_2010"
"07061",0.428,72426,2005,"07061_2005"
"07096",1.275,71432,2010,"07096_2010"
"07031",1.854,69946,1995,"07031_1995"
"07057",0.476,69119,2010,"07057_2010"
"07107",0.603,68685,2000,"07107_2000"
"07107",0.677,67814,2005,"07107_2005"
"07097",-0.339,67491,1990,"07097_1990"
"07023",1.882,67085,2005,"07023_2005"
"07034",0.222,67012,2010,"07034_2010"
"07031",1.886,66644,1990,"07031_1990"
"07061",0.361,65673,2000,"07061_2000"
"07106",0.851,65009,2015,"07106_2015"
"07017",0.102,64013,2000,"07017_2000"
"07017",0.022,63600,1995,"07017_1995"
"07077",1.484,63446,2015,"07077_2015"
"07107",0.31,63351,1995,"07107_1995"
"07065",0.632,63209,1990,"07065_1990"
"07096",1.423,63172,2005,"07096_2005"
"07106",0.733,61341,2010,"07106_2010"
"07027",-0.03,60620,2000,"07027_2000"
"07099",0.505,60417,2005,"07099_2005"
"07057",0.305,59875,2000,"07057_2000"
