"muniYear","POB_TOT"
"07006_2005",25346
"07076_2010",25187
"07003_2000",25154
"07030_2000",24994
"07075_2005",24969
"07112_2005",24906
"07032_1990",24805
"07002_2000",24754
"07030_1990",24753
"07004_2005",24725
"07111_1995",24631
"07044_2010",24517
"07103_2005",24417
"07072_2000",24405
"07109_1995",24216
"07071_1990",24182
"07003_2005",24165
"07008_1995",24094
"07054_2000",24079
"07086_2015",24049
"07054_2005",24017
"07049_2015",23889
"07003_1990",23871
"07076_2005",23675
"07038_2015",23625
"07002_1995",23553
"07054_1995",23293
"07006_1995",23200
"07103_2000",23180
"07039_2015",23172
"07079_1995",23047
"07103_1990",23007
"07103_1995",22833
"07013_2000",22722
"07100_1995",22682
"07014_2015",22606
"07006_1990",22578
"07039_2010",22536
"07094_1995",22403
"07111_1990",22392
"07079_1990",22388
"07100_1990",22373
"07012_1990",22170
"07109_1990",22076
"07008_1990",22023
"07066_2015",22011
"07004_2000",21948
"07008_2000",21848
"07021_2015",21800
"07044_2005",21705
"07038_2010",21507
"07054_1990",21464
"07005_2010",21275
"07048_2015",21222
"07112_1990",21206
"07076_2000",21156
"07075_2000",21100
"07048_2010",21084
"07002_1990",21051
"07021_2010",21050
"07086_2010",21045
"07048_1990",20903
"07072_1995",20819
"07112_2000",20688
"07047_2015",20606
"07066_2010",20589
"07048_1995",20451
"07049_2010",20349
"07021_2005",20257
"07114_2015",20193
"07048_2005",20173
"07011_2015",20142
"07039_2005",20087
"07039_2000",20041
"07048_2000",19956
"07005_2005",19637
"07075_1995",19503
"07005_2015",19348
"07021_2000",19298
"07011_2010",19281
"07076_1995",19231
"07066_2005",19228
"07038_2005",19018
"07004_1995",18841
"07005_2000",18778
"07047_2010",18683
"07038_2000",18630
"07014_2010",18559
"07083_2015",18539
"07044_2000",18533
"07038_1995",18409
"07086_2005",18406
"07011_2000",18205
"07094_1990",18186
"07062_2015",18128
"07001_2015",18082
"07039_1995",17742
"07038_1990",17669
"07011_2005",17553
"07072_1990",17490
"07076_1990",17475
"07013_1995",17368
"07049_2005",17320
"07114_2010",17282
"07016_2010",17140
"07083_2010",17125
"07011_1990",17087
"07062_2010",17067
"07016_2015",17065
"07021_1995",17035
"07004_1990",17026
"07062_2000",17026
"07001_2010",16814
"07011_1995",16803
"07022_2015",16803
"07075_1990",16617
"07049_2000",16538
"07044_1995",16402
"07062_2005",16392
"07066_2000",16262
"07062_1990",16201
"07021_1990",16192
"07013_1990",16148
"07039_1990",16109
"07086_2000",15890
"07083_2005",15885
"07016_2005",15876
"07016_2000",15709
"07016_1995",15689
"07105_2015",15350
"07104_2015",15316
"07049_1990",15303
"07114_2005",15213
"07005_1995",15187
"07083_2000",15171
